League,Day,Team 1,Team 2,team_A_score,team_B_score,winner_team,Tgames1,Wgames1,Lgames1,W%1,L%1,Ppoints1,Npoints1,PPPWG1,NPPWG1,PPPLG1,NPPLG1,DiffT1,DiffW1,DiffL1,Ratio1,Tgames2,Wgames2,Lgames2,W%2,L%2,Ppoints2,Npoints2,PPPWG2,NPPWG2,PPPLG2,NPPLG2,DiffT2,DiffW2,DiffL2,Ratio2
Euroleague,2021-02-26,TD Systems Baskonia,Crvena zvezda mts,0,0,None,9,4,5,44.44,55.56,734,744,82.75,73.75,80.6,89.8,-10,9.0,-9.200000000000003,0.9865591397849462,8,2,6,25.0,75.0,571,645,75.0,72.0,70.17,83.5,-74,3.0,-13.329999999999998,0.8852713178294573
Euroleague,2021-02-26,F.C. Barcelona,LDLC ASVEL,0,0,None,9,6,3,66.67,33.33,739,701,82.83,72.83,80.67,88.0,38,10.0,-7.329999999999998,1.0542082738944365,9,5,4,55.56,44.44,704,736,80.2,72.8,75.75,93.0,-32,7.400000000000006,-17.25,0.9565217391304348
Euroleague,2021-02-25,Real Madrid,Zalgiris,0,0,None,8,5,3,62.5,37.5,617,582,78.6,66.4,74.67,83.33,35,12.199999999999989,-8.659999999999997,1.0601374570446735,9,6,3,66.67,33.33,715,679,84.83,73.0,68.67,80.33,36,11.829999999999998,-11.659999999999997,1.053019145802651
Euroleague,2021-02-25,AX Armani Exchange Milano,Khimki Moscow Region,0,0,None,8,6,2,75.0,25.0,662,601,84.33,72.0,78.0,84.5,61,12.329999999999998,-6.5,1.1014975041597337,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
Euroleague,2021-02-25,FC Bayern München,Maccabi Playtika Tel Aviv,0,0,None,9,5,4,55.56,44.44,719,725,87.4,82.2,70.5,78.5,-6,5.200000000000003,-8.0,0.9917241379310345,9,5,4,55.56,44.44,734,720,83.8,77.4,78.75,83.25,14,6.3999999999999915,-4.5,1.0194444444444444
Euroleague,2021-02-25,Olympiacos,CSKA Moscow,0,0,None,9,4,5,44.44,55.56,751,754,94.75,87.5,74.4,80.8,-3,7.25,-6.3999999999999915,0.9960212201591512,9,4,5,44.44,55.56,752,752,83.0,76.5,84.0,89.2,0,6.5,-5.200000000000003,1.0
Euroleague,2021-02-25,Zenit St. Petersburg,Valencia,0,0,None,7,3,4,42.86,57.14,572,561,83.67,73.33,80.25,85.25,11,10.340000000000003,-5.0,1.0196078431372548,9,3,6,33.33,66.67,733,771,94.67,85.33,74.83,85.83,-38,9.340000000000003,-11.0,0.9507133592736705
Euroleague,2021-02-22,Zenit St. Petersburg,AX Armani Exchange Milano,0,0,None,8,4,4,50.0,50.0,650,633,82.25,73.0,80.25,85.25,17,9.25,-5.0,1.0268562401263823,9,6,3,66.67,33.33,741,685,84.33,72.0,78.33,84.33,56,12.329999999999998,-6.0,1.0817518248175182
Euroleague,2021-02-19,Fenerbahce,Alba Berlin,0,0,None,10,9,1,90.0,10.0,866,774,89.33,75.0,62.0,99.0,92,14.329999999999998,-37.0,1.1188630490956073,10,2,8,20.0,80.0,757,830,89.5,84.0,72.25,82.75,-73,5.5,-10.5,0.9120481927710843
Euroleague,2021-02-19,CSKA Moscow,Panathinaikos,0,0,None,10,5,5,50.0,50.0,835,817,83.0,74.2,84.0,89.2,18,8.799999999999997,-5.200000000000003,1.02203182374541,9,4,5,44.44,55.56,730,726,90.25,74.5,73.8,85.6,4,15.75,-11.799999999999997,1.0055096418732783
